id,fixture,category,language,split,error,contractPass,terminalError,toolResults,successfulToolResults,toolCalls,agentSteps,retries,completion,timeoutCount,loopPreventionCount,toolSelectionCorrect,latencyMs
agent_interview_java,success,success,zh,dev,,True,,1,1,1,1,0,True,0,0,,29.645874979905784
agent_interview_spring,success,success,en,test,,True,,1,1,1,1,0,True,0,0,,2.2832920076325536
agent_current_vue_docs,success,success,zh,test,,True,,1,1,1,1,0,True,0,0,,1.6547499690204859
agent_current_postgresql_docs,success,success,en,test,,True,,1,1,1,1,0,True,0,0,,1.7567920149303973
agent_interview_python_timeout,timeout,timeout,zh,test,,True,TOOL_TIMEOUT,1,0,1,1,0,False,1,0,,45.75954098254442
agent_web_pg_index_timeout,timeout,timeout,en,dev,,True,TOOL_TIMEOUT,1,0,1,1,0,False,1,0,,46.37695796554908
agent_web_spring_timeout,timeout,timeout,zh,test,,True,TOOL_TIMEOUT,1,0,1,1,0,False,1,0,,46.38445796445012
agent_interview_vue_timeout,timeout,timeout,en,test,,True,TOOL_TIMEOUT,1,0,1,1,0,False,1,0,,48.33399999188259
agent_interview_jvm_retry,http_5xx_recovery,http_5xx_recovery,zh,dev,,True,,1,1,3,1,2,True,0,0,,4.280041961465031
agent_web_kotlin_retry,http_5xx_recovery,http_5xx_recovery,en,test,,True,,1,1,3,1,2,True,0,0,,3.1821670127101243
agent_web_junit_retry,http_5xx_recovery,http_5xx_recovery,zh,test,,True,,1,1,3,1,2,True,0,0,,3.5462499945424497
agent_interview_sql_retry,http_5xx_recovery,http_5xx_recovery,en,test,,True,,1,1,3,1,2,True,0,0,,3.8742500473745167
agent_interview_redis_failed,http_5xx_exhausted,http_5xx_exhausted,zh,test,,True,HTTP_5XX,1,0,3,1,2,False,0,0,,2.7723339735530317
agent_web_node_failed,http_5xx_exhausted,http_5xx_exhausted,en,dev,,True,HTTP_5XX,1,0,3,1,2,False,0,0,,2.545999945141375
agent_web_gradle_failed,http_5xx_exhausted,http_5xx_exhausted,zh,test,,True,HTTP_5XX,1,0,3,1,2,False,0,0,,2.1317919599823654
agent_interview_docker_failed,http_5xx_exhausted,http_5xx_exhausted,en,test,,True,HTTP_5XX,1,0,3,1,2,False,0,0,,3.3328330027870834
agent_interview_jvm_malformed,malformed,malformed,zh,dev,,True,MALFORMED_RESPONSE,1,0,1,1,0,False,0,0,,2.4077919661067426
agent_web_typescript_malformed,malformed,malformed,en,test,,True,MALFORMED_RESPONSE,1,0,1,1,0,False,0,0,,3.012541972566396
agent_web_react_malformed,malformed,malformed,zh,test,,True,MALFORMED_RESPONSE,1,0,1,1,0,False,0,0,,2.0128749893046916
agent_interview_network_malformed,malformed,malformed,en,test,,True,MALFORMED_RESPONSE,1,0,1,1,0,False,0,0,,1.974457991309464
agent_interview_obscure_empty,empty,empty,zh,test,,True,EMPTY_RESPONSE,1,0,1,1,0,False,0,0,,2.1475839894264936
agent_web_removed_api_empty,empty,empty,en,dev,,True,EMPTY_RESPONSE,1,0,1,1,0,False,0,0,,1.9833749975077808
